Stadtbezirk,Bezirksname,2010,2011,2012,2013,2014
11.0,Aegidii,4,1.0,11,- ,1
12.0,Überwasser,2,- ,4,- ,-
13.0,Dom,9,6.0,10,2,1
14.0,Buddenturm,- ,3.0,25,2,2
15.0,Martini,4,5.0,1,1,-
,Altstadt,19,15.0,51,5,4
21.0,Pluggendorf,2,4.0,9,35,40
22.0,Josef,5,17.0,14,261,12
23.0,Bahnhof,1,- ,21,- ,25
24.0,Hansaplatz,40,6.0,1,3,37
25.0,Mauritz-West,36,11.0,16,46,15
26.0,Schlachthof,100,63.0,2,58,64
27.0,Kreuz,47,65.0,74,27,8
28.0,Neutor,52,42.0,25,6,77
29.0,Schloss,76,- ,2,4,16
,Innenstadtring,359,208.0,164,440,294
31.0,Aaseestadt,23,7.0,22,27,16
32.0,Geist,13,3.0,31,21,17
33.0,Schützenhof,- ,45.0,109,43,61
34.0,Düesberg,32,39.0,32,33,17
,Mitte-Süd,68,94.0,194,124,111
43.0,Hafen,- ,- ,1,1,-
44.0,Herz-Jesu,11,1.0,22,18,48
45.0,Mauritz-Mitte,21,6.0,52,65,38
46.0,Rumphorst,56,3.0,15,13,5
47.0,Uppenberg,68,53.0,50,61,17
,Mitte-Nordost,156,63.0,140,158,108
,Mitte,602,380.0,549,727,517
51.0,Gievenbeck,197,399.0,335,344,29
52.0,Sentrup,157,43.0,231,149,25
54.0,Mecklenbeck,106,11.0,11,229,239
56.0,Albachten,13,60.0,48,53,65
57.0,Roxel,33,69.0,90,52,78
58.0,Nienberge,57,69.0,15,15,8
,West,563,651.0,730,842,444
61.0,Coerde,30,25.0,28,9,31
62.0,Kinderhaus-Ost,3,7.0,6,11,6
63.0,Kinderhaus-West,1,13.0,12,37,75
68.0,Sprakel,11,10.0,13,22,10
,Nord,45,55.0,59,79,122
71.0,Mauritz-Ost,17,65.0,210,40,53
76.0,Gelmer-Dyckburg,32,19.0,27,17,21
77.0,Handorf,36,55.0,55,56,31
,Ost,85,139.0,292,113,105
81.0,Gremmendorf-West,5,3.0,6,18,4
82.0,Gremmendorf-Ost,27,53.0,2,19,27
86.0,Angelmodde,18,24.0,28,35,48
87.0,Wolbeck,73,51.0,57,32,72
,Südost,123,131.0,93,104,151
91.0,Berg Fidel,- ,- ,17,12,9
95.0,Hiltrup-Ost,12,8.0,4,5,7
96.0,Hiltrup-Mitte,22,38.0,40,14,25
97.0,Hiltrup-West,19,34.0,105,54,59
98.0,Amelsbüren,48,27.0,38,10,8
,Hiltrup,101,107.0,204,95,108
,Stadt Münster,1 519 ,1 463 ,1 927 ,1 960 ,1 447
