"","Stadtbezirk","Bezirksname","variable","value"
"1",11,"Aegidii","01-01-2010","4"
"2",12,"Überwasser","01-01-2010","2"
"3",13,"Dom","01-01-2010","9"
"4",14,"Buddenturm","01-01-2010","- "
"5",15,"Martini","01-01-2010","4"
"6",21,"Pluggendorf","01-01-2010","2"
"7",22,"Josef","01-01-2010","5"
"8",23,"Bahnhof","01-01-2010","1"
"9",24,"Hansaplatz","01-01-2010","40"
"10",25,"Mauritz-West","01-01-2010","36"
"11",26,"Schlachthof","01-01-2010","100"
"12",27,"Kreuz","01-01-2010","47"
"13",28,"Neutor","01-01-2010","52"
"14",29,"Schloss","01-01-2010","76"
"15",31,"Aaseestadt","01-01-2010","23"
"16",32,"Geist","01-01-2010","13"
"17",33,"Schützenhof","01-01-2010","- "
"18",34,"Düesberg","01-01-2010","32"
"19",43,"Hafen","01-01-2010","- "
"20",44,"Herz-Jesu","01-01-2010","11"
"21",45,"Mauritz-Mitte","01-01-2010","21"
"22",46,"Rumphorst","01-01-2010","56"
"23",47,"Uppenberg","01-01-2010","68"
"24",51,"Gievenbeck","01-01-2010","197"
"25",52,"Sentrup","01-01-2010","157"
"26",54,"Mecklenbeck","01-01-2010","106"
"27",56,"Albachten","01-01-2010","13"
"28",57,"Roxel","01-01-2010","33"
"29",58,"Nienberge","01-01-2010","57"
"30",61,"Coerde","01-01-2010","30"
"31",62,"Kinderhaus-Ost","01-01-2010","3"
"32",63,"Kinderhaus-West","01-01-2010","1"
"33",68,"Sprakel","01-01-2010","11"
"34",71,"Mauritz-Ost","01-01-2010","17"
"35",76,"Gelmer-Dyckburg","01-01-2010","32"
"36",77,"Handorf","01-01-2010","36"
"37",81,"Gremmendorf-West","01-01-2010","5"
"38",82,"Gremmendorf-Ost","01-01-2010","27"
"39",86,"Angelmodde","01-01-2010","18"
"40",87,"Wolbeck","01-01-2010","73"
"41",91,"Berg Fidel","01-01-2010","- "
"42",95,"Hiltrup-Ost","01-01-2010","12"
"43",96,"Hiltrup-Mitte","01-01-2010","22"
