"","Stadtbezirk","Bezirksname","variable","value"
"1",11,"Aegidii","2010","4"
"2",12,"Überwasser","2010","2"
"3",13,"Dom","2010","9"
"4",14,"Buddenturm","2010","- "
"5",15,"Martini","2010","4"
"6",NA,"Altstadt","2010","19"
"7",21,"Pluggendorf","2010","2"
"8",22,"Josef","2010","5"
"9",23,"Bahnhof","2010","1"
"10",24,"Hansaplatz","2010","40"
"11",25,"Mauritz-West","2010","36"
"12",26,"Schlachthof","2010","100"
"13",27,"Kreuz","2010","47"
"14",28,"Neutor","2010","52"
"15",29,"Schloss","2010","76"
"16",NA,"Innenstadtring","2010","359"
"17",31,"Aaseestadt","2010","23"
"18",32,"Geist","2010","13"
"19",33,"Schützenhof","2010","- "
"20",34,"Düesberg","2010","32"
"21",NA,"Mitte-Süd","2010","68"
"22",43,"Hafen","2010","- "
"23",44,"Herz-Jesu","2010","11"
"24",45,"Mauritz-Mitte","2010","21"
"25",46,"Rumphorst","2010","56"
"26",47,"Uppenberg","2010","68"
"27",NA,"Mitte-Nordost","2010","156"
"28",NA,"Mitte","2010","602"
"29",51,"Gievenbeck","2010","197"
"30",52,"Sentrup","2010","157"
"31",54,"Mecklenbeck","2010","106"
"32",56,"Albachten","2010","13"
"33",57,"Roxel","2010","33"
"34",58,"Nienberge","2010","57"
"35",NA,"West","2010","563"
"36",61,"Coerde","2010","30"
"37",62,"Kinderhaus-Ost","2010","3"
"38",63,"Kinderhaus-West","2010","1"
"39",68,"Sprakel","2010","11"
"40",NA,"Nord","2010","45"
"41",71,"Mauritz-Ost","2010","17"
"42",76,"Gelmer-Dyckburg","2010","32"
"43",77,"Handorf","2010","36"
"44",NA,"Ost","2010","85"
"45",81,"Gremmendorf-West","2010","5"
"46",82,"Gremmendorf-Ost","2010","27"
"47",86,"Angelmodde","2010","18"
"48",87,"Wolbeck","2010","73"
"49",NA,"Südost","2010","123"
"50",91,"Berg Fidel","2010","- "
"51",95,"Hiltrup-Ost","2010","12"
"52",96,"Hiltrup-Mitte","2010","22"
"53",97,"Hiltrup-West","2010","19"
"54",98,"Amelsbüren","2010","48"
"55",NA,"Hiltrup","2010","101"
"56",NA,"Stadt Münster","2010","1 519 "
"57",11,"Aegidii","2011","1.0"
"58",12,"Überwasser","2011","- "
"59",13,"Dom","2011","6.0"
"60",14,"Buddenturm","2011","3.0"
"61",15,"Martini","2011","5.0"
"62",NA,"Altstadt","2011","15.0"
"63",21,"Pluggendorf","2011","4.0"
"64",22,"Josef","2011","17.0"
"65",23,"Bahnhof","2011","- "
"66",24,"Hansaplatz","2011","6.0"
"67",25,"Mauritz-West","2011","11.0"
"68",26,"Schlachthof","2011","63.0"
"69",27,"Kreuz","2011","65.0"
"70",28,"Neutor","2011","42.0"
"71",29,"Schloss","2011","- "
"72",NA,"Innenstadtring","2011","208.0"
"73",31,"Aaseestadt","2011","7.0"
"74",32,"Geist","2011","3.0"
"75",33,"Schützenhof","2011","45.0"
"76",34,"Düesberg","2011","39.0"
"77",NA,"Mitte-Süd","2011","94.0"
"78",43,"Hafen","2011","- "
"79",44,"Herz-Jesu","2011","1.0"
"80",45,"Mauritz-Mitte","2011","6.0"
"81",46,"Rumphorst","2011","3.0"
"82",47,"Uppenberg","2011","53.0"
"83",NA,"Mitte-Nordost","2011","63.0"
"84",NA,"Mitte","2011","380.0"
"85",51,"Gievenbeck","2011","399.0"
"86",52,"Sentrup","2011","43.0"
"87",54,"Mecklenbeck","2011","11.0"
"88",56,"Albachten","2011","60.0"
"89",57,"Roxel","2011","69.0"
"90",58,"Nienberge","2011","69.0"
"91",NA,"West","2011","651.0"
"92",61,"Coerde","2011","25.0"
"93",62,"Kinderhaus-Ost","2011","7.0"
"94",63,"Kinderhaus-West","2011","13.0"
"95",68,"Sprakel","2011","10.0"
"96",NA,"Nord","2011","55.0"
"97",71,"Mauritz-Ost","2011","65.0"
"98",76,"Gelmer-Dyckburg","2011","19.0"
"99",77,"Handorf","2011","55.0"
"100",NA,"Ost","2011","139.0"
"101",81,"Gremmendorf-West","2011","3.0"
"102",82,"Gremmendorf-Ost","2011","53.0"
"103",86,"Angelmodde","2011","24.0"
"104",87,"Wolbeck","2011","51.0"
"105",NA,"Südost","2011","131.0"
"106",91,"Berg Fidel","2011","- "
"107",95,"Hiltrup-Ost","2011","8.0"
"108",96,"Hiltrup-Mitte","2011","38.0"
"109",97,"Hiltrup-West","2011","34.0"
"110",98,"Amelsbüren","2011","27.0"
"111",NA,"Hiltrup","2011","107.0"
"112",NA,"Stadt Münster","2011","1 463 "
"113",11,"Aegidii","2012","11"
"114",12,"Überwasser","2012","4"
"115",13,"Dom","2012","10"
"116",14,"Buddenturm","2012","25"
"117",15,"Martini","2012","1"
"118",NA,"Altstadt","2012","51"
"119",21,"Pluggendorf","2012","9"
"120",22,"Josef","2012","14"
"121",23,"Bahnhof","2012","21"
"122",24,"Hansaplatz","2012","1"
"123",25,"Mauritz-West","2012","16"
"124",26,"Schlachthof","2012","2"
"125",27,"Kreuz","2012","74"
"126",28,"Neutor","2012","25"
"127",29,"Schloss","2012","2"
"128",NA,"Innenstadtring","2012","164"
"129",31,"Aaseestadt","2012","22"
"130",32,"Geist","2012","31"
"131",33,"Schützenhof","2012","109"
"132",34,"Düesberg","2012","32"
"133",NA,"Mitte-Süd","2012","194"
"134",43,"Hafen","2012","1"
"135",44,"Herz-Jesu","2012","22"
"136",45,"Mauritz-Mitte","2012","52"
"137",46,"Rumphorst","2012","15"
"138",47,"Uppenberg","2012","50"
"139",NA,"Mitte-Nordost","2012","140"
"140",NA,"Mitte","2012","549"
"141",51,"Gievenbeck","2012","335"
"142",52,"Sentrup","2012","231"
"143",54,"Mecklenbeck","2012","11"
"144",56,"Albachten","2012","48"
"145",57,"Roxel","2012","90"
"146",58,"Nienberge","2012","15"
"147",NA,"West","2012","730"
"148",61,"Coerde","2012","28"
"149",62,"Kinderhaus-Ost","2012","6"
"150",63,"Kinderhaus-West","2012","12"
"151",68,"Sprakel","2012","13"
"152",NA,"Nord","2012","59"
"153",71,"Mauritz-Ost","2012","210"
